Respondent ID,Stats Code,Reference Question,Question ID,Question,Stats Title,Product,Product ID,Product IDs,Loop,Answer Value,Answer Text
5ffdf2340dfd885e5d8581d1,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product A,5fdd2b429dde3d01e2fc4fba,,,7,Like Moderately(7)
5ffdf2340dfd885e5d8581d1,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product B,5fdd2b429dde3d01e2fc4fbb,,,7,Like Moderately(7)
5ffdf2340dfd885e5d8581d1,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product C,5fdd2b439dde3d01e2fc4fbc,,,7,Like Moderately(7)
5ffdf2340dfd885e5d8581d1,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product D,5fdd2b419dde3d01e2fc4fb9,,,7,Like Moderately(7)
5ffdf2340dfd885e5d8581d1,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product E,5fdd2b409dde3d01e2fc4fb8,,,7,Like Moderately(7)
5ffdf2340dfd885e5d8581d1,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product F,5fdd2b409dde3d01e2fc4fb7,,,6,Like Slightly(6)
5ffe0ad78a33dc5e7e16eefe,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product D,5fdd2b419dde3d01e2fc4fb9,,,9,Like Extremely(9)
5ffefbae8a33dc5e7e16f5e9,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product F,5fdd2b409dde3d01e2fc4fb7,,,8,Like Very Much(8)
5ffefbae8a33dc5e7e16f5e9,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product E,5fdd2b409dde3d01e2fc4fb8,,,8,Like Very Much(8)
5ffefbae8a33dc5e7e16f5e9,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product D,5fdd2b419dde3d01e2fc4fb9,,,9,Like Extremely(9)
5ffefbae8a33dc5e7e16f5e9,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product C,5fdd2b439dde3d01e2fc4fbc,,,3,Dislike Moderately(3)
6000eabf0dee4e10bb032335,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product E,5fdd2b409dde3d01e2fc4fb8,,,7,Like Moderately(7)
60007576c299f810fd40ee7a,S_FL_ANO_PCA_AHC_PLS_9,,5fdd2b459826aa01ed7a3e5c,5fdd2b459826aa01ed7a3e5c,Flavor Liking,Product D,5fdd2b419dde3d01e2fc4fb9,,,9,Like Extremely(9)
